"","Stemmed","Lemmatised","STM"
"692","expect","entertain","client"
"693","experi","entertainment","climat"
"694","experienc","enthusiastic","clinic"
"695","expert","entire","cliniceveryth"
"696","expertis","environment","clinician"
"697","explain","episode","clinicianpsychiatrist"
"698","explan","equally","clock"
"699","explanatori","equip","clockwork"
"700","explicit","equipment","cloister"
"701","explor","error","close"
"702","express","escalate","closer"
"703","extend","escort","clot"
"704","extens","esp","cloth"
"705","extent","especially","cloud"
"706","extra","essential","club"
"707","extrem","establish","cmht"
"708","ey","estimate","cns"
"709","f","even","co-codamol"
"710","fab","event","co-op"
"711","fabul","eventually","co-ordin"
"712","face","ever","coach"
"713","facetim","everthing","coalvill"
"714","facetofac","every","cocain"
"715","facil","everybody","cod"
"716","facilit","everyday","code"
"717","fact","everyone","codin"
"718","fai","everyones","coeliac"
"719","fail","everything","coffe"
"720","failur","everywhere","coffeetea"
"721","fair","evidence","cognit"
"722","fairli","ex","cohort"
"723","faith","exact","cold"
"724","fake","exactly","colder"
"725","fall","examination","colleagu"
"726","famili","examine","collect"
"727","familiar","example","colour"
"728","fan","exceed","comb"
"729","fantast","excellant","combat"
"730","far","excellence","combin"
"731","fast","excellent","come"
"732","faster","excellently","comeback"
"733","fat","except","comfi"
"734","father","exceptional","comfid"
"735","fatigu","exceptionally","comfier"
"736","fault","exellent","comfort"
"737","faultless","exemplary","comitt"
"738","favourit","exercise","comm"
"739","fay","exersice","commenc"
"740","fear","exist","commend"
"741","feb","existence","comment"
"742","fed","expect","commerci"
"743","feed","expectation","commiss"
"744","feedback","experience","commit"
"745","feel","expert","commod"
"746","feet","expertise","common"
"747","fell","explain","communal"
"748","felt","explanation","communic"
"749","femal","explanatory","communicationg"
"750","figur","explicit","communicationlisten"
"751","file","explore","communiti"
"752","fill","express","compani"
"753","film","extend","compar"
"754","final","extensive","compass"
"755","find","extent","compassion"
"756","fine","extra","compens"
"757","finish","extremely","compet"
"758","firm","eye","competit"
"759","first","f","complain"
"760","fish","fab","complaint"
"761","fit","fabulous","complet"
"762","five","face","completley"
"763","fix","facetime","complex"
"764","flexibl","facetoface","compliant"
"765","floor","facilitate","complic"
"766","fluid","facilitator","compliment"
"767","foam","facility","complimentari"
"768","fob","fact","compon"
"769","focu","fail","comprehens"
"770","focus","failure","con"
"771","follow","fair","concentr"
"772","followup","fairly","concern"
"773","food","faith","concious"
"774","foot","fake","concis"
"775","forc","fall","conclus"
